critic_name,review_content,review_score,review_type
Sandie Angulo Chen,charming buddyanimal story promotes tolerance teamwork,4/5,Fresh
Violet LeVoit,even though zootopia remains whimsical family entertainment and never turns into a polemic at its core it has more in common with animal farm    than it does with other classic anthropomorphized disney fare,4/5,Fresh
Rob Thomas,its a candycoated film that doesnt sugarcoat the complexities of race relations,3.5/4,Fresh
Christian Toto,lions and tigers and preconceived notions about others based on their outward appearances  oh my,3.5/4,Fresh
Stephen Whitty,zootopia does have some important things to say about not judging people by what they look like or what part of the world they come from kids will probably nod and embrace that as sensible advice now if we could only get some adults to listen too,3/4,Fresh
Kate Taylor,leaving aside amusing jokes about the wolves trying desperately to contain a group howl or sloths working as bureaucrats animal behaviour is a troubling metaphor for cultural diversity,2/4,Rotten
David Nusair,a decidedly middleoftheroad disney effort,2.5/4,Fresh
Adam Graham,zootopia is a delight its cute and clever smart and sophisticated with plenty to offer children and adults,B+,Fresh
Al Alexander,it should serve as a terrific inspiration for little girls to dream big and aspire high but the larger message zootopia is sending is one of tolerance and understanding,A,Fresh
Rob Vaux,zootopia is a great animated film but it might be something much more a clarion call for sanity and understanding arriving just when we need it the most,5/5,Fresh
James Berardinelli,theres a lot here for kids to like and nearly as much to keep parents from fidgeting,3/4,Fresh
Charles Koplinski,timely message buoys charming clever zootopia,3.5/4,Fresh
Allyson Johnson,from the enormity of the world building the slick animation the enthusiastic voice work done by a sprawling cast and a script thats intelligent and warm zootopia is already shaping up to be a highlight of the 2016 cinematic year,9/10,Fresh
Laura Clifford,what an unexpected surprise a disney animation with orwellian anthropomorphic political allegory and a film noir backdrop not seen since roger rabbit was framed,B,Fresh
Stephen Silver,exciting visuals good characters lots of laughs and even a timely allegory about american race relations splice today,4.5/5,Fresh
Susan Granger,the mouse house may win the gold for best animated feature in 2017 for this intrepid actionpacked comedypolice procedural parable,10/10,Fresh
Frederic and Mary Ann Brussat,a spunky 3d animated film about a bunny whose life is energized by big dreams and rocksolid optimism,3/5,Fresh
